formula,density_real,density_computation
Ga86.5Sn13.5,5.885,6.158
Ga,5.91,5.91
Ga96.5Zn3.5,5.946,5.944
Ga82Sn12Zn6,5.961,6.19
Ga74Sn22Cd4,5.983,6.411
Ga93Zn5Cd2,6.02,6.019
Ga86Sn11Zn3,6.14,6.143
Ga67In20.5Sn12.5,6.17,6.469
Ga78.55In21.45,6.197,6.283
Ga75.5In24.5,6.28,6.332
Ga78In22,6.28,6.292
Bi49In51,6.34,8.709
Ga68In20Sn12,6.36,6.453
Ga68.5In21.5Sn10,6.44,6.445
Ga61In25Sn13Zn1,6.5,6.553
Sn,7.168,7.31
In52.2Sn46Zn1.8,7.27,7.308
In52Sn48,7.3,7.31
Bi32.5In51Sn16.5,7.88,8.283
Bi32.5In51Sn16.5,7.9,8.283
Bi33.7In66.3,7.99,8.32
Bi30.8In61.7Cd7.5,8.02,8.328
Bi31.6In48.8Sn19.6,8.04,8.258
In51.34Sn5.56Bi33.1,8.052,8.399
Sn51.2Cd30.6Pb18.2,8.12,8.509
Bi0.355Sn0.601Zn0.044,8.282,8.362
Bi54In29.7Sn16.3,8.47,8.822
In4Sn40Bi56,8.525,8.858
Bi57In26Sn17,8.54,8.891
Bi58Sn42,8.56,8.903
In25.2Sn17.3Bi57.5,8.696,8.903
Sn26Bi53Cd21,8.773,9.041
Bi67In33,8.81,9.123
In10.5Sn19Bi53.5Pb17,9.159,9.425
Bi45Pb23In19Sn8Cd5,9.18,9.526
In21Sn12Bi49Pb18,9.229,9.368
In19.1Sn8.3Bi44.7Cd5.3Pb22.6,9.33,9.509
Sn22Bi50Pb28,9.437,9.736
Sn16Bi52Pb32,9.566,9.918
Sn13.3Bi50Cd10Pb26.7,9.582,9.822
Bi50Pb26.7Sn13.3Cd10,9.6,9.822
Sn15.5Bi52.5Pb32,9.714,9.928
Bi,9.75,9.78
Bi51.6Cd8.2Pb40.2,10.417,10.308
