density,formula,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
9.159,In10.5Sn19Bi53.5Pb17,In10.5 Sn19 Bi53.5 Pb17,4,0.6018720794321664,0.5496526732702322,0.5359786762445838,0.535080277140477,0.535002273400895,49.0,83.0,34.0,72.99,13.774100000000002,83.0,75.0,86.0,11.0,82.855,3.36515,86.0,114.818,208.9804,94.1624,181.63930399999998,37.945609360000006,208.9804,429.75,600.61,170.86,534.44665,33.1456235,544.4,13.0,15.0,2.0,14.43,0.6099,15.0,5.0,6.0,1.0,5.705,0.41595,6.0,139.0,148.0,9.0,145.32,3.098800000000003,148.0,1.78,2.33,0.55,2.0361000000000002,0.09992600000000017,2.02,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.43,0.6099,3.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,9.87,5.823300000000001,14.0,13.0,29.0,16.0,24.3,6.286999999999999,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.57,0.6099,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.57,0.6099,3.0,24.26,33.285,9.024999999999995,31.2784,2.55112,32.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,86.055,79.23885,12.0,2.0,2.43,10.0,9.87,False,0.0728361721882469,0.005601434121116524,In0.06637269431510265 Sn0.12417411597216867 Bi0.6155304030453674 Pb0.19392278666736137 ,In0.105Sn0.19Bi0.535Pb0.17,0.03852286822773563,14.310104041451522,0.011297643807801174,3.1490250000000004,1.0726451454833443,-0.009877501114267374,181.63930400000004,18163.930399999997,-6.6559470302848185,0.018474187520071496,0.02876375000000012,14.430000000000001,0.3689,2.3726,8.0,0,8.0,0,0,11.68711,0.40827314260002096,2.50319255,-0.08953106411755199
7.99,Bi33.7In66.3,Bi33.7 In66.3,2,0.7437324787852148,0.6908377418347009,0.6674392501413704,0.6638271879966261,0.6630762873220896,49.0,83.0,34.0,60.458,15.193308,49.0,75.0,86.0,11.0,78.70700000000001,4.915482000000003,75.0,114.818,208.9804,94.1624,146.5507288,42.077598388800006,114.818,429.75,544.4,114.64999999999998,468.38705000000004,51.232728300000005,429.75,13.0,15.0,2.0,13.674000000000001,0.8937240000000005,13.0,5.0,6.0,1.0,5.337000000000001,0.44686200000000026,5.0,142.0,148.0,6.0,144.02200000000002,2.681172000000006,142.0,1.78,2.02,0.24,1.8608800000000003,0.1072468800000001,1.78,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.6740000000000002,0.893724,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,4.718000000000001,6.256068,0.0,13.0,29.0,16.0,18.392,7.149792,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.3260000000000005,0.8937239999999999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.3260000000000005,0.8937239999999999,5.0,24.26,32.95,8.690000000000001,27.18853,3.88323078,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,139.0,127.0,96.20099999999998,56.75147400000001,139.0,2.0,1.6740000000000002,10.0,4.718000000000001,False,0.014296815877557045,0.0031943518683384482,Bi0.4805598401090995 In0.5194401598909005 ,Bi0.337In0.6629999999999999,0.021027041295651822,2.7843875060272425,0.00022085947853542343,1.564017,1.0270857081832985,-0.005312858114750805,146.5507288,14655.07288,-12.016330991725916,0.029659589914238133,0.055857750000000095,13.674,0.893724,2.40542,4.0,0,4.0,0,0,6.8021139999999995,0.6338958029920432,2.038137582,-0.1363999169476457
9.437,Sn22Bi50Pb28,Sn22 Bi50 Pb28,3,0.6138403701289122,0.540155419369974,0.5069599976787129,0.5014490355056249,0.5001650061659333,50.0,83.0,33.0,75.46,11.202400000000004,83.0,80.0,86.0,6.0,83.28,2.72,86.0,118.71,208.9804,90.27040000000001,188.62239999999997,30.761456000000017,208.9804,505.08,600.61,95.53000000000003,551.4884000000001,27.50809600000005,544.4,14.0,15.0,1.0,14.5,0.5,15.0,5.0,6.0,1.0,5.78,0.3431999999999998,6.0,139.0,148.0,9.0,145.46,2.8423999999999956,148.0,1.96,2.33,0.3700000000000001,2.0936000000000003,0.13238400000000017,2.02,2.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,2.5,0.5,3.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,10.92,4.8048,14.0,14.0,29.0,15.0,25.42,5.024799999999999,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.5,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.5,0.5,3.0,28.11,33.285,5.174999999999997,31.668500000000005,1.9927599999999983,32.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,100.02,88.02,12.0,2.0,2.5,10.0,10.92,False,0.033645949486530435,0.0054949635428969655,Sn0.13845757449804477 Bi0.5539649585627159 Pb0.3075774669392395 ,Sn0.22Bi0.5Pb0.28,0.04219788539670187,5.092893589168074,0.003479392161695083,3.6204,1.0723457474978682,-0.008614235838824499,188.62240000000003,18862.239999999998,-4.837660433634265,0.005427936247737885,0.010080000000000144,14.5,0.9328000000000001,2.3492,7.0,0,7.0,0,0,11.99268,0.38840370830011667,2.4619704000000002,-0.06905587399673851
7.99,Bi0.218In0.782,Bi0.218 In0.782,2,0.8118177135293366,0.7876069225777879,0.7822631438172147,0.7820146161349765,0.7820002216683071,49.0,83.0,34.0,56.412,11.592368,49.0,75.0,86.0,11.0,77.39800000000001,3.7504720000000056,75.0,114.818,208.9804,94.1624,135.34540320000002,32.104858604800015,114.818,429.75,544.4,114.64999999999998,454.7437,39.090146799999985,429.75,13.0,15.0,2.0,13.436,0.6819040000000001,13.0,5.0,6.0,1.0,5.218,0.34095200000000003,5.0,142.0,148.0,6.0,143.30800000000002,2.045712000000012,142.0,1.78,2.02,0.24,1.8323200000000002,0.08182848000000009,1.78,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.436,0.6819040000000001,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,3.052,4.773328,0.0,13.0,29.0,16.0,16.488,5.4552320000000005,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.564,0.6819040000000001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.564,0.6819040000000001,5.0,24.26,32.95,8.690000000000001,26.154420000000002,2.9628728800000004,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,139.0,127.0,111.31400000000001,43.300903999999996,139.0,2.0,1.436,10.0,3.052,False,0.014296815877557045,0.002437263983542415,Bi0.33660343183343516 In0.6633965681665648 ,Bi0.218In0.782,0.018464739129268756,2.907281778247085,0.008646071044567575,1.193332,1.0271370387356948,-0.00435957017923239,135.34540320000002,135.34540320000002,-12.786665984881306,0.02610237665000023,0.04261900000000008,13.436,0.6819040000000001,2.4458800000000003,4.0,0,4.0,0,0,5.716596,0.6588464195645438,1.555082072,-0.12818263852173714
8.052,In51.34Sn5.56Bi33.1,In51.34 Sn5.56 Bi33.1,3,0.6815305215849485,0.6176324170570872,0.5826236445929922,0.5741449491686916,0.5711483620366856,49.0,83.0,34.0,61.56622222222223,15.765734320987658,49.0,75.0,86.0,11.0,79.35444444444444,4.967937283950617,75.0,114.818,208.9804,94.1624,149.68927733333334,43.6119146725926,114.818,429.75,544.4,114.64999999999998,476.5694422222223,53.41578141530865,429.75,13.0,15.0,2.0,13.797333333333336,0.9096687407407412,13.0,5.0,6.0,1.0,5.367777777777778,0.4650345679012347,5.0,139.0,148.0,9.0,144.02133333333336,2.926530370370377,142.0,1.78,2.02,0.24,1.879386666666667,0.11338914370370375,1.78,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.7973333333333334,0.9096687407407408,1.0,10.0,10.0,0.0,10.000000000000002,1.7763568394002505e-15,10.0,0.0,14.0,14.0,5.148888888888889,6.510483950617284,0.0,13.0,29.0,16.0,18.946222222222225,7.395112098765432,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.202666666666667,0.9096687407407408,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.202666666666667,0.9096687407407408,5.0,24.26,33.285,9.024999999999995,28.013533333333335,4.2823644740740745,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,141.0,129.0,92.41577777777778,59.15027209876545,139.0,2.0,1.7973333333333334,10.000000000000002,5.148888888888889,False,0.014296815877557045,0.003304162766471419,In0.43755498983651686 Sn0.04899242037002551 Bi0.5134525897934576 ,In0.5704444444444445Sn0.06177777777777777Bi0.3677777777777778,0.021421006650347012,4.554112899278859,-0.0019636373736600606,1.6276209876543215,1.0270724721234277,-0.007150828388321288,149.6892773333333,13472.03496,-15.583916175815032,0.030881249666679,0.06125939506172851,13.79733333333333,0.7483051851851854,2.4332577777777775,6.0,0,6.0,0,0,7.991743555555555,0.6355152340601178,2.559236384296297,-0.13813267854391129
9.11,Bi0.405Sn0.285Pb0.163In0.147,Bi0.405 Sn0.285 Pb0.163 In0.147,4,0.5416899482176127,0.4596066580816063,0.4192975267747009,0.40990891688021786,0.40619611791196764,49.0,83.0,34.0,68.434,16.220976,83.0,75.0,86.0,11.0,81.858,3.3550200000000006,86.0,114.818,208.9804,94.1624,169.121258,44.699574911999996,208.9804,429.75,600.61,170.86,525.50248,39.79204272,544.4,13.0,15.0,2.0,14.258,0.6010199999999999,15.0,5.0,6.0,1.0,5.5680000000000005,0.4907519999999999,6.0,139.0,148.0,9.0,144.227,3.634127999999999,148.0,1.78,2.33,0.55,2.0181500000000003,0.10316159999999998,2.02,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.258,0.6010199999999999,3.0,10.0,10.0,0.0,10.000000000000002,1.7763568394002505e-15,10.0,0.0,14.0,14.0,7.952,6.870527999999999,14.0,13.0,29.0,16.0,22.21,7.38744,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.742,0.6010199999999999,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.742,0.6010199999999999,3.0,24.26,33.285,9.024999999999995,30.979125,2.9107575,32.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,102.15299999999999,73.02393000000001,12.0,2.0,2.258,10.000000000000002,7.952,False,0.0728361721882469,0.006168335730894845,Bi0.5004519420024655 Sn0.20004788516887687 Pb0.199700501281749 In0.09979967154690865 ,Bi0.405Sn0.285Pb0.163In0.147,0.04098256203644332,11.385904632594446,0.011659029551373627,3.3548039999999997,1.0728157834285827,-0.010819396691931561,169.121258,169.121258,-6.441764363941253,0.021207131339331973,0.035773200000000116,14.258,0.49935599999999997,2.47913,8.0,0,8.0,0,0,11.887214,0.45510521895959005,2.942665038,-0.11098583959093901
8.49,Bi33In51Cd16,Bi33 In51 Cd16,3,0.6281719509815764,0.5568659968783486,0.5213619528168948,0.5134125405537252,0.5106528545007568,48.0,83.0,35.0,60.06,15.140400000000001,49.0,70.0,86.0,16.0,77.83,5.3922,75.0,112.411,208.9804,96.5694,145.506472,41.892792480000004,114.818,429.75,594.22,164.47000000000003,493.8997,65.432694,429.75,12.0,15.0,3.0,13.5,0.99,13.0,5.0,6.0,1.0,5.33,0.44220000000000004,5.0,142.0,148.0,6.0,144.3,2.4420000000000037,142.0,1.69,2.02,0.33000000000000007,1.8448,0.115632,1.78,2.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,1.5,0.99,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,4.62,6.190799999999999,0.0,12.0,29.0,17.0,18.12,7.180800000000001,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.54,1.4892,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.54,1.4892,5.0,19.495,32.95,13.455000000000002,26.3653,4.345902000000001,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,105.89,61.9674,139.0,2.0,1.5,10.0,4.62,False,0.0268577401186475,0.003989315597831501,Bi0.4739550829051783 In0.40243694452299 Cd0.12360797257183173 ,Bi0.33In0.51Cd0.16,0.019953878521934466,8.910075976842311,0.000707708201310887,1.6053000000000002,1.0270690616596685,-0.008334597290302358,145.506472,14550.6472,-20.932927661329185,0.028329515193260883,0.0595950000000001,13.5,0.46199999999999997,2.1902,4.0,0,4.0,0,0,10.00258,0.7393218930018285,3.7956198,-0.17480869153614842
9.307,Bi49In21Pb18Sn12,Bi49 In21 Pb18 Sn12,4,0.575325994545701,0.5123205796690619,0.49214001690145853,0.4902523876013816,0.4900124722239607,49.0,83.0,34.0,71.72,14.7552,83.0,75.0,86.0,11.0,82.07,3.8514,86.0,114.818,208.9804,94.1624,178.053376,40.801268160000006,208.9804,429.75,600.61,170.86,525.7229,45.262914,544.4,13.0,15.0,2.0,14.28,0.7056,15.0,5.0,6.0,1.0,5.67,0.44220000000000004,6.0,139.0,148.0,9.0,145.3,2.897999999999996,148.0,1.78,2.33,0.55,2.0182,0.11401199999999995,2.02,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,2.28,0.7056,3.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,9.38,6.190799999999999,14.0,13.0,29.0,16.0,23.66,6.795599999999999,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.72,0.7056,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,3.72,0.7056,3.0,24.26,33.285,9.024999999999995,30.294100000000004,3.3205979999999995,32.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,92.49,78.8802,12.0,2.0,2.28,10.0,9.38,False,0.0728361721882469,0.007301046988541369,Bi0.5751106679381356 In0.13541883081172243 Pb0.20946527854658595 Sn0.08000522270355605 ,Bi0.49In0.21Pb0.18Sn0.12,0.04007381121874593,35.02258496414528,0.010528406624467466,3.3188999999999997,1.0726655427990253,-0.01031245957223794,178.05337600000004,17805.3376,-6.421566185509998,0.02420406617620234,0.04507500000000012,14.280000000000001,0.15480000000000002,2.3396000000000003,8.0,0,8.0,0,0,10.263460000000002,0.4826137308280071,2.6403318,-0.11455462853314823
7.9,Bi32.5In51Sn16.5,Bi32.5 In51 Sn16.5,3,0.6268572405261026,0.5555593203448578,0.5206285124755474,0.5130799777018993,0.5105611056853053,49.0,83.0,34.0,60.215,14.810250000000002,49.0,75.0,86.0,11.0,79.4,4.488,75.0,114.818,208.9804,94.1624,146.06296,40.896336,114.818,429.75,544.4,114.64999999999998,479.4407,50.684514,429.75,13.0,15.0,2.0,13.815,0.8312999999999999,13.0,5.0,6.0,1.0,5.325,0.4387500000000001,5.0,139.0,148.0,9.0,143.455,2.954250000000004,142.0,1.78,2.02,0.24,1.8877000000000002,0.10985399999999998,1.78,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,2.0,1.815,0.8312999999999999,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,4.55,6.1425,0.0,13.0,29.0,16.0,18.365,6.912749999999999,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.185,0.8313000000000001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.185,0.8313000000000001,5.0,24.26,33.285,9.024999999999995,28.573375000000002,4.3996425,24.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,141.0,129.0,98.055,55.93575,139.0,2.0,1.815,10.0,4.55,False,0.014296815877557045,0.0030967999177352393,Bi0.46499557451115603 In0.40090369248986873 Sn0.13410073299897524 ,Bi0.325In0.51Sn0.165,0.02084644062412433,8.940720493540445,0.0010719723104838236,1.535625,1.0270908732472663,-0.00836373120044437,146.06296,14606.296,-19.245812064058082,0.031068986326786837,0.062475000000000114,13.815,0.4485,2.5118,6.0,0,6.0,0,0,9.12013,0.636348539426815,3.04975005,-0.14232779374311905
9.566,Sn16Bi52Pb32,Sn16 Bi52 Pb32,3,0.63118935352238,0.5619658798195954,0.5291383316813407,0.5224667553573393,0.52040399386591,50.0,83.0,33.0,77.4,8.767999999999995,83.0,80.0,86.0,6.0,83.44,2.6624,86.0,118.71,208.9804,90.27040000000001,193.967408,24.082370559999994,208.9804,505.08,600.61,95.53000000000003,556.096,28.48896000000002,544.4,14.0,15.0,1.0,14.52,0.49920000000000003,15.0,5.0,6.0,1.0,5.84,0.2688000000000001,6.0,139.0,148.0,9.0,145.92,2.2144000000000084,148.0,1.96,2.33,0.3700000000000001,2.1096,0.141056,2.02,2.0,2.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,2.52,0.49920000000000003,3.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,14.0,14.0,11.76,3.7632,14.0,14.0,29.0,15.0,26.28,3.9295999999999993,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.48,0.49920000000000003,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.48,0.49920000000000003,3.0,28.11,33.285,5.174999999999997,31.4548,2.1406720000000017,32.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,100.8,92.35199999999999,12.0,2.0,2.52,10.0,11.76,False,0.033645949486530435,0.005747638121886924,Sn0.09792160546889403 Bi0.5602477711100825 Pb0.3418306234210234 ,Sn0.16Bi0.52Pb0.32,0.041407688522668726,6.214374677186104,0.0007305727309278476,3.5520000000000005,1.0722008228142943,-0.008296322506083417,193.967408,19396.7408,-4.83864377966888,0.00564194668103086,0.010880000000000155,14.520000000000001,0.7424000000000001,2.2856,7.0,0,7.0,0,0,11.35912,0.39914766714655414,2.3732864000000005,-0.0691736226887858
