enthalpy,0-norm,2-norm,MagpieData minimum Number,MagpieData range Number,MagpieData avg_dev Number,MagpieData minimum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData avg_dev MeltingT,MagpieData range Row,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData minimum NdValence,MagpieData minimum NfValence,MagpieData minimum NValence,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,compound possible,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Total weight,Lambda entropy,Electronegativity delta,Mixing enthalpy,Mean cohesive energy,Shear modulus delta,Shear modulus local mismatch
49.31,3,0.6265780079128217,48.0,35.0,16.8858,70.0,16.0,5.215199999999999,594.22,89.14000000000004,20.82402000000003,1.0,9.0,3.3708000000000005,2.02,0.33,0.1029419999999998,10.0,0.0,12.0,0.0,4.0,1.1046,19.495,33.285,13.789999999999996,4.500950999999999,12.0,194.0,182.0,83.76,76.0656,12.0,False,0.0196254342803056,4.610205113184304,-0.013516010805675,1.6303,1.0269773878477162,16523.052200000002,-21.898112303203725,0.0098645734339628,0.9964,2.2154000000000003,0.2698127855683337,2.33644
40.44,3,0.6893475175845635,49.0,34.0,16.3072,75.0,11.0,3.1808000000000005,544.4,114.64999999999998,22.751679999999997,1.0,9.0,4.300800000000001,2.02,0.24,0.037632,10.0,0.0,13.0,3.0,5.0,0.5376000000000001,24.26,33.285,9.024999999999997,0.6781119999999972,12.0,141.0,129.0,68.68,63.4816,12.0,False,0.0218645143523624,4.430572575491318,-0.0156573508954838,1.7248000000000003,1.026990174921587,16910.5744,-14.260283016942823,0.0118332837815612,0.8064000000000001,2.5776000000000003,0.2384956926621115,1.6918848000000006
16.91,4,0.6018720794321664,49.0,34.0,13.774100000000002,75.0,11.0,3.36515,600.61,170.86,33.1456235,1.0,9.0,3.098800000000003,2.33,0.55,0.0999260000000001,10.0,0.0,13.0,3.0,5.0,0.6099,24.26,33.285,9.024999999999997,2.55112,12.0,225.0,213.0,86.055,79.23885,12.0,False,0.0385228682277356,14.310104041451522,0.0112976438078011,3.1490250000000004,1.0726451454833443,18163.9304,-6.6559470302848185,0.0184741875200714,0.3689,2.3726,0.4082731426000209,2.50319255
18.664,3,0.6138403701289122,50.0,33.0,11.202400000000004,80.0,6.0,2.72,600.61,95.53000000000004,27.50809600000005,1.0,9.0,2.842399999999996,2.33,0.3700000000000001,0.1323840000000001,10.0,0.0,14.0,3.0,4.0,0.5,28.11,33.285,5.174999999999997,1.9927599999999983,12.0,225.0,213.0,100.02,88.02,12.0,False,0.0421978853967018,5.092893589168074,0.003479392161695,3.6204,1.0723457474978682,18862.24,-4.837660433634265,0.0054279362477378,0.9328,2.3492,0.3884037083001166,2.4619704
20.4,2,0.7437324787852148,49.0,34.0,15.193308,75.0,11.0,4.915482000000003,544.4,114.64999999999998,51.232728300000005,1.0,6.0,2.681172000000006,2.02,0.24,0.1072468800000001,10.0,0.0,13.0,3.0,5.0,0.8937239999999999,24.26,32.95,8.690000000000001,3.88323078,12.0,139.0,127.0,96.20099999999998,56.75147400000001,139.0,False,0.0210270412956518,2.7843875060272425,0.0002208594785354,1.564017,1.0270857081832985,14655.07288,-12.016330991725916,0.0296595899142381,0.893724,2.40542,0.6338958029920432,2.038137582
21.71,4,0.5416899482176127,49.0,34.0,16.220976,75.0,11.0,3.355020000000001,600.61,170.86,39.79204272,1.0,9.0,3.634127999999999,2.33,0.55,0.1031615999999999,10.0,0.0,13.0,3.0,5.0,0.6010199999999999,24.26,33.285,9.024999999999997,2.9107575,12.0,225.0,213.0,102.153,73.02393000000001,12.0,False,0.0409825620364433,11.385904632594446,0.0116590295513736,3.354804,1.0728157834285827,169.121258,-6.441764363941253,0.0212071313393319,0.4993559999999999,2.47913,0.45510521895959,2.942665038
22.46,2,0.8118177135293366,49.0,34.0,11.592368,75.0,11.0,3.7504720000000056,544.4,114.64999999999998,39.09014679999999,1.0,6.0,2.045712000000012,2.02,0.24,0.08182848,10.0,0.0,13.0,3.0,5.0,0.6819040000000001,24.26,32.95,8.690000000000001,2.9628728800000004,12.0,139.0,127.0,111.314,43.300904,139.0,False,0.0184647391292687,2.907281778247085,0.0086460710445675,1.193332,1.0271370387356948,135.34540320000002,-12.786665984881306,0.0261023766500002,0.6819040000000001,2.4458800000000003,0.6588464195645438,1.555082072
23.4,4,0.575325994545701,49.0,34.0,14.7552,75.0,11.0,3.8514,600.61,170.86,45.262914,1.0,9.0,2.897999999999996,2.33,0.55,0.1140119999999999,10.0,0.0,13.0,3.0,5.0,0.7056,24.26,33.285,9.024999999999997,3.3205979999999995,12.0,225.0,213.0,92.49,78.8802,12.0,False,0.0400738112187459,35.02258496414528,0.0105284066244674,3.3189,1.0726655427990253,17805.3376,-6.421566185509998,0.0242040661762023,0.1548,2.3396000000000003,0.4826137308280071,2.6403318
24.34,3,0.6815305215849485,49.0,34.0,15.765734320987658,75.0,11.0,4.967937283950617,544.4,114.64999999999998,53.41578141530865,1.0,9.0,2.926530370370377,2.02,0.24,0.1133891437037037,10.0,0.0,13.0,3.0,5.0,0.9096687407407408,24.26,33.285,9.024999999999997,4.2823644740740745,12.0,141.0,129.0,92.41577777777778,59.15027209876545,139.0,False,0.021421006650347,4.554112899278859,-0.00196363737366,1.6276209876543215,1.0270724721234277,13472.03496,-15.583916175815032,0.030881249666679,0.7483051851851854,2.433257777777777,0.6355152340601178,2.559236384296297
24.51,4,0.5380334562088123,48.0,35.0,15.300544,70.0,16.0,4.036864,600.61,95.53000000000004,31.462884000000027,1.0,9.0,2.755232000000004,2.33,0.6400000000000001,0.14006304,10.0,0.0,12.0,0.0,4.0,0.932832,19.495,33.285,13.789999999999996,4.0141916,12.0,225.0,213.0,115.198,85.860736,12.0,False,0.0419102836453595,4.915194161014393,0.0068581731678954,3.5913200000000005,1.0725375235100216,175.79692440000002,-6.217223277509935,0.0091058665642598,1.23904,2.17028,0.4393339720785046,3.360155384
