melting_point,formula,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,compound possible,max ionic char,avg ionic char,Weight Fraction,Atomic Fraction,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Atomic weight mean,Total weight,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Interant electrons,Interant s electrons,Interant p electrons,Interant d electrons,Interant f electrons,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model
6.5,Sn0.130In0.250Ga0.610,Sn0.13 In0.25 Ga0.61,3.0,0.6787247445386805,0.6318835517836888,0.6176336112419956,0.6163341780870283,0.6161698650904092,31.0,50.0,19.0,38.040404040404034,8.67605346393225,31.0,74.0,80.0,6.0,75.04040404040403,1.3025201510049897,74.0,69.723,118.71,48.986999999999995,87.54326262626263,21.96032364044485,69.723,302.91,505.08,202.16999999999996,361.4878787878788,72.18688093051729,302.91,13.0,14.0,1.0,13.131313131313131,0.22813998571574343,13.0,4.0,5.0,1.0,4.383838383838384,0.4730129578614427,4.0,122.0,142.0,20.0,129.2828282828283,8.974798489950008,122.0,1.78,1.96,0.17999999999999994,1.8221212121212123,0.03621059075604535,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.1313131313131315,0.22813998571574343,1.0,10.0,10.0,0.0,9.999999999999998,1.7763568394002505e-15,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.131313131313131,0.22813998571574343,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.868686868686869,0.2281399857157428,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.868686868686869,0.2281399857157428,5.0,18.8575,33.285,14.427499999999995,22.11628787878788,4.015880012243648,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,141.0,77.0,93.05050505050505,35.79961228446077,64.0,2.0,1.1313131313131315,9.999999999999998,0.0,False,0.008067283394428859,0.0007563571560549546,Sn0.17806260985189082 In0.331201323489927 Ga0.49073606665818215 ,Sn0.13131313131313133In0.25252525252525254Ga0.6161616161616161,0.07188977971030303,1.25179631423943,-0.030268989496075267,4.9666360575451485,1.092328719882833,-0.007586510066716305,87.54326262626262,86.66783000000001,-1.4679380667331694,0.022728450870640612,0.043454749515355606,13.131313131313131,2.1907968574635244,2.78010101010101,4.0,0.0,4.0,0.0,0.0,26.450404040404038,0.5525821301627662,7.277700234669932,-0.1732626713060074
7.6,Ga61In25Sn13Zn1,Ga61 In25 Sn13 Zn1,4.0,0.6720119046564577,0.6255655680580611,0.6114572752726511,0.6101708363061856,0.6100081664395051,30.0,50.0,20.0,37.96,8.650400000000001,31.0,69.0,80.0,11.0,74.98,1.315200000000001,74.0,65.38,118.71,53.33,87.32162999999998,21.909161199999993,69.723,302.91,692.68,389.7699999999999,364.7998,75.50555599999998,302.91,12.0,14.0,2.0,13.12,0.2287999999999994,13.0,4.0,5.0,1.0,4.38,0.47119999999999995,4.0,122.0,142.0,20.0,129.21,8.940400000000002,122.0,1.65,1.96,0.31000000000000005,1.8204,0.036295999999999974,1.81,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,1.12,0.22880000000000006,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,2.0,13.12,0.2287999999999994,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.82,0.3095999999999998,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.82,0.3095999999999998,5.0,13.96,33.285,19.324999999999996,22.034724999999998,4.037708999999999,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,194.0,130.0,94.06,36.6732,64.0,2.0,1.12,10.0,0.0,False,0.02373869707974785,0.0008216215110504479,Ga0.48706017916234556 In0.3287204404117546 Sn0.17672882135436327 Zn0.007490559071536678 ,Ga0.61In0.25Sn0.13Zn0.01,0.07155436528946754,1.3332713458502663,-0.02972063028811069,4.961399999999999,1.0923336330814535,-0.007976241722675343,87.32163,8732.192,-1.5578514378149317,0.02263774337219963,0.043155000000000034,13.12,2.1824,2.7658,4.0,0.0,4.0,0.0,0.0,26.5577,0.549064479103987,7.242635,-0.17129713953266704
10.0,Ga68.5In21.5Sn10,Ga68.5 In21.5 Sn10,3.0,0.7248793002976427,0.6926840079773963,0.6854258651221077,0.6850294993158673,0.6850006358773728,31.0,50.0,19.0,36.77,7.904900000000001,31.0,74.0,80.0,6.0,74.815,1.1165499999999993,74.0,69.723,118.71,48.986999999999995,84.31712499999999,19.993951249999995,69.723,302.91,505.08,202.16999999999996,350.3976,65.05801199999999,302.91,13.0,14.0,1.0,13.1,0.17999999999999972,13.0,4.0,5.0,1.0,4.315,0.43155000000000016,4.0,122.0,142.0,20.0,128.0,8.22,122.0,1.78,1.96,0.17999999999999994,1.8185499999999999,0.028289999999999864,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.1,0.18000000000000008,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.1,0.17999999999999972,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.9,0.17999999999999972,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.9,0.17999999999999972,5.0,18.8575,33.285,14.427499999999995,21.4617875,3.567873874999999,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,141.0,77.0,87.825,32.64025000000001,64.0,2.0,1.1,10.0,0.0,False,0.008067283394428859,0.0005908105780223115,Ga0.5664359998043103 In0.2927740954165598 Sn0.14078990477912998 ,Ga0.685In0.215Sn0.1,0.06937263746639594,1.1701047964642826,-0.020574491435423798,4.531275000000001,1.092675002983367,-0.0068166417835696935,84.31712499999999,8431.7125,-1.416426553941488,0.021186144730625484,0.038255000000000025,13.100000000000001,2.0413,2.78065,4.0,0.0,4.0,0.0,0.0,28.31247,0.49591278535615163,6.589216050000001,-0.15046108903420657
10.0,Sn0.100In0.215Ga0.685,Sn0.1 In0.215 Ga0.685,3.0,0.7248793002976427,0.6926840079773963,0.6854258651221077,0.6850294993158673,0.6850006358773728,31.0,50.0,19.0,36.77,7.904900000000001,31.0,74.0,80.0,6.0,74.815,1.1165499999999993,74.0,69.723,118.71,48.986999999999995,84.317125,19.993951250000002,69.723,302.91,505.08,202.16999999999996,350.3976,65.05801199999999,302.91,13.0,14.0,1.0,13.100000000000001,0.18000000000000113,13.0,4.0,5.0,1.0,4.315,0.43155000000000016,4.0,122.0,142.0,20.0,128.0,8.219999999999999,122.0,1.78,1.96,0.17999999999999994,1.81855,0.02829000000000004,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.1,0.18000000000000008,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.100000000000001,0.18000000000000113,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.9,0.17999999999999972,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.9,0.17999999999999972,5.0,18.8575,33.285,14.427499999999995,21.4617875,3.567873874999999,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,141.0,77.0,87.825,32.64025000000001,64.0,2.0,1.1,10.0,0.0,False,0.008067283394428859,0.0005908105780223115,Sn0.14078990477912998 In0.29277409541655974 Ga0.5664359998043101 ,Sn0.1In0.215Ga0.685,0.06937263746639594,1.1701047964642826,-0.0205744914354238,4.531275000000001,1.092675002983367,-0.0068166417835696935,84.317125,84.317125,-1.416426553941488,0.021186144730625484,0.038255000000000025,13.100000000000001,2.0413,2.78065,4.0,0.0,4.0,0.0,0.0,28.31247,0.49591278535615163,6.589216050000001,-0.15046108903420657
10.5,Ga68In20Sn12,Ga68 In20 Sn12,3.0,0.7188880302244571,0.6869415851234959,0.6803222958430218,0.6800190113272805,0.6800003313880895,31.0,50.0,19.0,36.88,7.9968,31.0,74.0,80.0,6.0,74.92,1.2512000000000005,74.0,69.723,118.71,48.986999999999995,84.62044,20.260518400000002,69.723,302.91,505.08,202.16999999999996,352.5384,67.49462399999999,302.91,13.0,14.0,1.0,13.12,0.21119999999999942,13.0,4.0,5.0,1.0,4.32,0.4352000000000001,4.0,122.0,142.0,20.0,128.04,8.214399999999998,122.0,1.78,1.96,0.17999999999999994,1.822,0.033120000000000004,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.12,0.21120000000000008,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.12,0.21119999999999942,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.88,0.21120000000000008,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.88,0.21120000000000008,5.0,18.8575,33.285,14.427499999999995,21.669300000000003,3.8240480000000003,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,141.0,77.0,88.24,32.96639999999999,64.0,2.0,1.12,10.0,0.0,False,0.008067283394428859,0.0006819228388322575,Ga0.5602859072819758 In0.27137178676924867 Sn0.1683423059487755 ,Ga0.68In0.2Sn0.12,0.06961341091060337,1.255030301660664,-0.021279187312469965,4.5696,1.0926497412313747,-0.006971868434111701,84.62044,8462.044,-1.4386771813048391,0.020787552001097345,0.037280000000000035,13.12,1.9584000000000001,2.7916000000000007,4.0,0.0,4.0,0.0,0.0,28.438000000000002,0.4841748711765771,6.494847999999999,-0.14578018665986042
10.5,Sn0.120In0.200Ga0.68,Sn0.12 In0.2 Ga0.68,3.0,0.7188880302244572,0.6869415851234959,0.6803222958430218,0.6800190113272805,0.6800003313880895,31.0,50.0,19.0,36.88,7.996800000000001,31.0,74.0,80.0,6.0,74.92,1.2512000000000008,74.0,69.723,118.71,48.986999999999995,84.62044,20.260518400000002,69.723,302.91,505.08,202.16999999999996,352.5384,67.49462399999999,302.91,13.0,14.0,1.0,13.120000000000001,0.21120000000000078,13.0,4.0,5.0,1.0,4.32,0.43520000000000014,4.0,122.0,142.0,20.0,128.04000000000002,8.214400000000008,122.0,1.78,1.96,0.17999999999999994,1.822,0.033120000000000004,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.12,0.21120000000000005,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.120000000000001,0.21120000000000078,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.880000000000001,0.21119999999999942,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.880000000000001,0.21119999999999942,5.0,18.8575,33.285,14.427499999999995,21.6693,3.8240479999999986,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,141.0,77.0,88.24000000000001,32.96640000000001,64.0,2.0,1.12,10.0,0.0,False,0.008067283394428859,0.0006819228388322576,Sn0.16834230594877547 In0.27137178676924867 Ga0.5602859072819759 ,Sn0.12In0.2Ga0.68,0.06961341091060337,1.2550303016606639,-0.021279187312469965,4.5696,1.0926497412313747,-0.0069718684341117,84.62044,84.62044,-1.438677181304839,0.020787552001097345,0.037280000000000035,13.120000000000001,1.9584000000000001,2.7916000000000003,4.0,0.0,4.0,0.0,0.0,28.438000000000002,0.4841748711765771,6.494847999999999,-0.14578018665986042
10.7,Ga67In20.5Sn12.5,Ga67 In20.5 Sn12.5,3.0,0.7117232608254419,0.6777573537894838,0.6703891718201352,0.6700247789938225,0.6700004852200129,31.0,50.0,19.0,37.065,8.127099999999999,31.0,74.0,80.0,6.0,74.955,1.2796999999999994,74.0,69.723,118.71,48.986999999999995,85.09084999999999,20.592919,69.723,302.91,505.08,202.16999999999996,354.18345,68.70642299999997,302.91,13.0,14.0,1.0,13.125,0.21875,13.0,4.0,5.0,1.0,4.33,0.44220000000000004,4.0,122.0,142.0,20.0,128.225,8.341499999999996,122.0,1.78,1.96,0.17999999999999994,1.8226000000000002,0.034350000000000123,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.125,0.21875,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.125,0.21875,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.875,0.21875,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.875,0.21875,5.0,18.8575,33.285,14.427499999999995,21.76845,3.9006729999999994,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,141.0,77.0,89.0,33.5,64.0,2.0,1.125,10.0,0.0,False,0.008067283394428859,0.000707395690193068,Ga0.5489945158615762 In0.2766183438054738 Sn0.17438714033295002 ,Ga0.67In0.205Sn0.125,0.07006646614792694,1.2667280715154252,-0.022688322145161314,4.6431000000000004,1.0925992695543763,-0.007092864196306721,85.09085,8509.085,-1.4447783213654823,0.021024273317063642,0.038063750000000035,13.125,1.9832,2.7918000000000003,4.0,0.0,4.0,0.0,0.0,28.17414,0.4921352285502481,6.6052212,-0.14908807520878983
10.77,Sn0.107In0.196Ga0.696,Sn0.107 In0.196 Ga0.696,3.0,0.7316769553449108,0.7026754201188735,0.6969552494833969,0.696710876755564,0.6966969157406857,31.0,50.0,19.0,36.56656656656657,7.756417077738401,31.0,74.0,80.0,6.0,74.83883883883884,1.1688324961598235,74.0,69.723,118.71,48.986999999999995,83.81732332332334,19.638937003069145,69.723,302.91,505.08,202.16999999999996,349.4493693693694,64.84764981197412,302.91,13.0,14.0,1.0,13.10710710710711,0.19127034942850982,13.0,4.0,5.0,1.0,4.303303303303303,0.4226208190172153,4.0,122.0,142.0,20.0,127.74474474474475,8.004689374058746,122.0,1.78,1.96,0.17999999999999994,1.8201801801801805,0.0299513928342759,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.107107107107107,0.19127034942850754,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.10710710710711,0.19127034942850982,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.892892892892894,0.191270349428507,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.892892892892894,0.191270349428507,5.0,18.8575,33.285,14.427499999999995,21.462737737737736,3.6301210519829126,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,141.0,77.0,86.96196196196198,31.995046097148208,64.0,2.0,1.107107107107107,10.0,0.0,False,0.008067283394428859,0.0006188433180234705,Sn0.15169518878141802 In0.26876132476765036 Ga0.5795434864509315 ,Sn0.10710710710710712In0.19619619619619622Ga0.6966966966966968,0.06877132498662068,1.214712737929023,-0.018925634142828687,4.437518599680763,1.0927341664003092,-0.006739262668471912,83.81732332332334,83.733506,-1.424943354076476,0.020528567765268887,0.0363224084945807,13.107107107107108,1.9387555723892065,2.788448448448449,4.0,0.0,4.0,0.0,0.0,28.8116996996997,0.47487446639354447,6.341367289211135,-0.1418495799967379
10.8,GaIn0.154Sn0.111,Ga1 In0.154 Sn0.111,3.0,0.8046316423455949,0.7918343922438797,0.79053019184073,0.7905140894212086,0.7905138346076256,31.0,50.0,19.0,34.85849802371541,6.1003921323563866,31.0,74.0,80.0,6.0,74.64822134387352,1.0248558796419243,74.0,69.723,118.71,48.986999999999995,79.51129011857708,15.475557499726605,69.723,302.91,505.08,202.16999999999996,336.091209486166,52.460410254807904,302.91,13.0,14.0,1.0,13.087747035573122,0.16009498664250263,13.0,4.0,5.0,1.0,4.209486166007905,0.33120342451842716,4.0,122.0,142.0,20.0,125.92648221343875,6.207877017294449,122.0,1.78,1.96,0.17999999999999994,1.8195098814229251,0.02465518286490977,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0877470355731225,0.16009498664250338,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.087747035573122,0.16009498664250263,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.9122529644268775,0.16009498664250338,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.9122529644268775,0.16009498664250338,5.0,18.8575,33.285,14.427499999999995,20.781166007905142,3.0413691824587175,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,141.0,77.0,79.88695652173914,25.117717820931436,64.0,2.0,1.0877470355731225,10.0,0.0,False,0.008067283394428859,0.0004969116704224229,Ga0.6931971040242655 In0.17579696490165583 Sn0.1310059310740786 ,Ga0.790513833992095In0.12173913043478261Sn0.08774703557312254,0.0617473177097607,1.2792200304507406,-0.005683486056776448,3.4776359574434847,1.0932121598761912,-0.005451570839285156,79.51129011857708,100.581782,-1.4298334946538742,0.01678594392188405,0.02538611757721574,13.087747035573123,1.4322985830117643,2.803652173913044,4.0,0.0,4.0,0.0,0.0,31.692452173913043,0.3693206687817525,4.724388712837258,-0.09681939801686587
11.0,Sn0.160In0.215Ga0.625,Sn0.16 In0.215 Ga0.625,3.0,0.6800367637120805,0.6367535798064736,0.6257378413665196,0.6250573148133944,0.6250015258631275,31.0,50.0,19.0,37.91,8.6375,31.0,74.0,80.0,6.0,75.175,1.543999999999998,74.0,69.723,118.71,48.986999999999995,87.256345,21.916681249999996,69.723,302.91,505.08,202.16999999999996,362.5278,74.52224999999999,302.91,13.0,14.0,1.0,13.16,0.2688000000000001,13.0,4.0,5.0,1.0,4.375,0.46875,4.0,122.0,142.0,20.0,129.02,8.775000000000002,122.0,1.78,1.96,0.17999999999999994,1.82755,0.04238399999999996,1.81,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,1.0,1.1600000000000001,0.2688000000000001,1.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,1.0,13.16,0.2688000000000001,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.84,0.2688000000000001,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,4.84,0.2688000000000001,5.0,18.8575,33.285,14.427499999999995,22.327437500000002,4.3374218749999995,18.8575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,141.0,77.0,92.445,35.55625,64.0,2.0,1.1600000000000001,10.0,0.0,False,0.008067283394428859,0.0008686664535481561,Sn0.21767586070674863 In0.28291203350312233 Ga0.4994121057901291 ,Sn0.16In0.215Ga0.625,0.0716587227051593,1.3740284555917748,-0.029025189689155073,4.921875,1.0923729984895412,-0.007627641981879587,87.256345,87.256345,-1.4854299458967226,0.021691503183946376,0.04047500000000005,13.16,2.0124999999999997,2.80045,4.0,0.0,4.0,0.0,0.0,27.17067,0.5161134637265172,6.94317405,-0.15879154919663988
